Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Baden-Wuerttemberg,"41,248",+284,"1,518",13.7,"1,864",,,,,,,,,,,,,,
Bavaria,"56,639",+448,"1,967",15.0,"2,636",,,,,,,,,,,,,,
Berlin,"11,011",+77,385,10.3,226,,,,,,,,,,,,,,
Brandenburg,"3,857",+18,75,3.0,169,,,,,,,,,,,,,,
Bremen,"1,958",+14,74,10.8,56,,,,,,,,,,,,,,
Hamburg,6.167,+30,139,7.5,266,,,,,,,,,,,,,,
Hesse,"15,232",+127,930,14.8,530,,,,,,,,,,,,,,
"Mecklenburg- 
Western Pomerania","1,001",+2,16,1.0,20th,,,,,,,,,,,,,,
Lower Saxony,"16,506",+87,500,6.3,660,,,,,,,,,,,,,,
North Rhine-Westphalia,"58,187",+361,"1,888",10.5,"1,808",,,,,,,,,,,,,,
Rhineland-Palatinate,"8,874",+32,338,8.3,243,,,,,,,,,,,,,,
Saarland,3.112,+17,55,5.6,174,,,,,,,,,,,,,,
Saxony,"5,905",+39,101,2.5,225,,,,,,,,,,,,,,
Saxony-Anhalt,"2,218",+9,50,2.3,65,,,,,,,,,,,,,,
Schleswig-Holstein,"4,000",+19,122,4.2,160,,,,,,,,,,,,,,
Thuringia,"3,592",+7,53,2.5,186,,,,,,,,,,,,,,
total,239.507,"+1,571",8.211,9.9,"9,288",,,,,,,,,,,,,,
